product_id,name,template_serial_number,dimensions,final_price,category
1,3913 PRINTY LITTLE FELL AZUL C.N 58x22mm,60326,,185.51,"Texto , Printy , 3913 , Little fellow"
1,3913 PRINTY LITTLE FELL ROJO C.N 58x22mm,60283,,185.51,"Texto , Printy , 3913 , Little fellow"
1,43132 PRINTY FECH 3.0 ROJO 32x32mm 56789,73000162,,850.4,"Texto , Printy , 43132 , 3"
1,4642 PRINTY 4.0 AZUL CIELO C.NEGRO 42mm,166970,,504.63,"Texto , Printy , 4642 , 4"
1,4642 PRINTY 4.0 C. GRIS C. NEGRO 42mm,167053,,504.63,"Texto , Printy , 4642 , 4"
1,4642 PRINTY 4.0 C. NEGRO C. NEGRO 42mm,166684,,504.63,"Texto , Printy , 4642 , 4"
1,4642 PRINTY 4.0 C. ROJO C. NEGRO 42mm,167322,,504.63,"Texto , Printy , 4642 , 4"
1,4645 PRINTY 4.0 C. AZUL C. NEGRO 45mm,171372,,518.36,"Texto , Printy , 4645 , 4"
1,4645 PRINTY 4.0 C. NEGRO C. NEGRO 45mm,171327,,10,"Texto , Printy , 4645 , 4"
1,4645 PRINTY 4.0 C. GRIS C. NEGRO 45mm,171469,,518.36,"Texto , Printy , 4645 , 4"
1,4645 PRINTY 4.0 C. ROJO C. NEGRO 45mm,171416,,518.36,"Texto , Printy , 4645 , 4"
1,4822 PRINTY FORMU TEXTO 4.0 NEG C.N 4mm,74032,,424.05,"Texto , Printy , 4822 , Formulario"
1,4908 PRINTY 3.0 NEGRO C. NEGRO 15x07mm,99519,,251.34,"Texto , Printy , 4908 , 3"
1,4908 PRINTY 3.0 C. ROJO C. NEGRO 15x07mm,3525,,251.34,"Texto , Printy , 4908 , 3"
1,4908 PRINTY 3.0 AMARILLO C.NEGRO 15x07mm,73000172,,251.34,"Texto , Printy , 4908 , 3"
1,4910 PRINTY 4.0 CREMA PASTEL C.NEG26x9mm,180317,,271.94,"Texto , Printy , 4910 , 4"
1,4910 IDEAL 2.0 C. AZULC. NEGRO 27x19mm,202650,,133.66,"Texto , Ideal , 4910 , 2"
1,4910 IDEAL 2.0 C. NEGRO C. NEGRO 27x19mm,202647,,133.66,"Texto , Ideal , 4910 , 2"
1,4910 IDEAL 2.0 C. ROJO C. NEGRO 27x19mm,202673,,133.66,"Texto , Ideal , 4910 , 2"
1,4910 PRINTY 4.0 C.AZUL PASTEL C.N 26x9mm,180316,,271.94,"Texto , Printy , 4910 , 4"
1,4910 PRINTY 4.0 ROSA PASTEL C.NEG 26x9mm,180314,,271.94,"Texto , Printy , 4910 , 4"
1,4910 PRINTY 4.0 VERDE PASTEL C.N 26x9mm,180313,,271.94,"Texto , Printy , 4910 , 4"
1,4911 IDEAL 2.0 C. NEGRO C. NEGRO 38x14mm,202676,,142.73,"Texto , Ideal , 4911 , 2"
1,4911 IDEAL 2.0 C.ROJO C.NEGRO 38x14mm,202682,,142.73,"Texto , Ideal , 4911 , 2"
1,4911 PRINTY 4.0 ROJO C.N 38x14mm S/TAPA,43086,,232.34,"Texto , Printy , 4911 , 4"
1,4911 IDEAL 2.0 C.AZUL C.NEGRO 38x14mm,202679,,142.73,"Texto , Ideal , 4911 , 2"
1,4911 PRINTY 4.0 AZUL PASTEL C.N 38x14mm,155405,,290.42,"Texto , Printy , 4911 , 4"
1,4911 PRINTY 4.0 CREMA PASTEL C.N 38x14mm,155407,,290.42,"Texto , Printy , 4911 , 4"
1,4911 PRINTY 4.0 ROSA PASTEL C.N 38x14mm,155409,,290.42,"Texto , Printy , 4911 , 4"
1,4911 PRINTY 4.0 VERDE PASTEL C.N 38x14mm,155408,,290.42,"Texto , Printy , 4911 , 4"
1,4912 IDEAL 2.0 C. ROJO C. NEGRO 47x18mm,202691,,174.35,"Texto , Ideal , 4912 , 2"
1,4912 IDEAL 2.0 C. NEGRO C. NEGRO 47x18mm,202685,,174.35,"Texto , Ideal , 4912 , 2"
1,4912 PRINTY 2.0 C.ROJO C.NEGRO 47x18mm,61826,,174.35,"Texto , Printy , 4912 , 2"
1,4912 PRINTY 2.0 C.ROJO SIN CARTU 47x18mm,152912,,103.96,"Texto , Printy , 4912 , 2"
1,4912 PRINTY P DATOS 4.0 C.G C.N 47x18mm,73000174,,408.32,"Texto , Printy , 4912 , 4"
1,4912 PRINTY 4.0 AZUL PASTEL C.N 47x18mm,180276,,354.82,"Texto , Printy , 4912 , 4"
1,4912 PRINTY 4.0 CREMA PASTEL C.N 47x18mm,180274,,354.82,"Texto , Printy , 4912 , 4"
1,4912 PRINTY 4.0 ROSA PASTEL C.N 47x18mm,180277,,354.82,"Texto , Printy , 4912 , 4"
1,4912 PRINTY 4.0 VERDE PASTEL C.N 47x18mm,180275,,354.82,"Texto , Printy , 4912 , 4"
1,4913 PRINTY 4.0 AZUL PASTEL C.N 58x22mm,180445,,425.26,"Texto , Printy , 4913 , 4"
1,4913 PRINTY 4.0 CREMA PASTEL C.N 58x22mm,180446,,425.26,"Texto , Printy , 4913 , 4"
1,4913 IDEAL 2.0 C. NEGRO C. NEGRO 58x22mm,202694,,198.36,"Texto , Ideal , 4913 , 2"
1,4913 PRINTY 2.0 AZUL S/CARTUCHO 58x22mm,152914,,198.36,"Texto , Printy , 4913 , 2"
1,4913 PRINTY 2.0 NEGRO S/CARTUCHO 58x22mm,152913,,198.36,"Texto , Printy , 4913 , 2"
1,4913 PRINTY 2.0 ROJO S/CARTUCHO 58x22mm,152915,,198.36,"Texto , Printy , 4913 , 2"
1,4913 PRINTY 4.0 ROSA PASTEL C.N 58x22mm,180448,,425.26,"Texto , Printy , 4913 , 4"
1,4913 PRINTY 4.0 VERDE PASTEL C.N 58x22mm,180447,,425.26,"Texto , Printy , 4913 , 4"
1,4914 PRINTY 4.0 AZUL PASTEL C.N 64x26mm,189294,,530.39,"Texto , Printy , 4914 , 4"
1,4914 PRINTY 4.0 CREMA PASTEL C.N 64x26mm,189277,,530.39,"Texto , Printy , 4914 , 4"
1,4914 PRINTY 4.0 ROSA PASTEL C.N 64x26mm,189280,,530.39,"Texto , Printy , 4914 , 4"
1,4914 PRINTY 4.0 VERDE PASTEL C.N 64x26mm,189293,,530.39,"Texto , Printy , 4914 , 4"
1,4915 PRINTY 4.0 AZUL PASTEL C.N 70x25mm,189328,,550.53,"Texto , Printy , 4915 , 4"
1,4915 PRINTY 4.0 CREMA PASTEL C.N 70x25mm,189325,,550.53,"Texto , Printy , 4915 , 4"
1,4915 PRINTY 2.0 NEGRO SIN CART 70x25mm,153886,,294.61,"Texto , Printy , 4915 , 2"
1,4915 PRINTY 2.0 C. ROJO C. NEGRO 70x25mm,118349,,294.61,"Texto , Printy , 4915 , 2"
1,4915 PRINTY 4.0 ROSA PASTEL C.N 70x25mm,189326,,550.53,"Texto , Printy , 4915 , 4"
1,4915 PRINTY 4.0 VERDE PASTEL C.N 70x25mm,189327,,550.53,"Texto , Printy , 4915 , 4"
1,4916 PRINTY 2.0 C.NEGRO C.NEGRO 70x10mm,72642,,497.31,"Texto , Printy , 4916 , 2"
1,4924 PRINTY 4.0 C.NEGRO C.NEGRO 40x40mm,176685,,657.48,"Texto , Printy , 4924 , 4"
1,4924 PRINTY 2.0 C.NEGRO C.NEGRO 40x40mm,177194,,,"Texto , Printy , 4924 , 2"
1,4926 PRINTY 4.0 C. AZUL C. NEGRO 75x38mm,166366,,601.65,"Texto , Printy , 4926 , 4"
1,4926 PRINTY 4.0 C. GRIS C. NEGRO 75x38mm,166324,,601.65,"Texto , Printy , 4926 , 4"
1,4926 PRINTY 4.0 C.NEGRO C.NEGRO 75x38mm,165872,,601.65,"Texto , Printy , 4926 , 4"
1,4926 PRINTY 4.0 C. ROJO C. NEGRO 75x38mm,166367,,601.65,"Texto , Printy , 4926 , 4"
1,4926 PRINTY 2.0 C.NEGRO C.NEGRO 75x38mm,166990,,388.51,"Texto , Printy , 4926 , 2"
1,4927 PRINTY 4.0 C.NEGRO C.NEGRO 60x40mm,187447,,592.93,"Texto , Printy , 4927 , 4"
1,4927 PRINTY 4.0 C. ROJO C. NEGRO 60x40mm,187936,,592.93,"Texto , Printy , 4927 , 4"
1,4941 PRINTY 4.0 C.NEGRO C.NEGRO 41x24mm,139924,,611.57,"Texto , Printy , 4941 , 4"
1,5200 PROF 4.0 METAL C.NEGRO 41x24mm,121366,,1345.58,"Texto , Professional , 5200 , 4"
1,5203 PROFESSIONAL 3.0 NEG C.NEG 49x28mm,74277,,1584.58,"Texto , Professional , 5203 , 3"
1,5203 PROF 4.0 METAL C. NEGRO 49x28mm,120074,,1584.58,"Texto , Professional , 5203 , 4"
1,5204 PROF 4.0 METAL C. NEGRO 56x26mm,119718,,1786.17,"Texto , Professional , 5204 , 4"
1,52045 PROF 4.0 METAL C. NEGRO 45mm,150746,,1953.58,"Texto , Professional , 52045 , 4"
1,5206 PROF 4.0 METAL C. NEGRO 56x33mm,119722,,1863.78,"Texto , Professional , 5206 , 4"
1,5208 PROF 4.0 METAL C.NEGRO 68x47mm,140270,,2502.86,"Texto , Professional , 5208 , 4"
1,5212 PROF 3.0 NEGRO C.NEGRO 116x70mm,103267,,5017.73,"Texto , Professional , 5212 , 3"
1,5253/DB PROF TYPO 4.0 METAL C.N 49x28mm,120453,,3148.04,"Texto , Professional , 5253/DB , 4"
1,5274 PROF 4.0 METAL C.NEGRO 60x40mm,140268,,1822.14,"Texto , Professional , 5274 , 4"
1,4907 PRINTY 4.0 NEGRO C.NEGRO 13x06mm,73000171,,271.65,"Texto , Printy , 4907 , 4"
1,8910 IMPRINT 111430 AZUL C.NEGRO 26x9mm,73000067,,184.91,"Texto , Imprint , 8910 , Imprint"
1,8910 IMPRINT 111180 NEGRO C.NEGRO 26x9mm,73000066,,184.91,"Texto , Imprint , 8910 , Imprint"
1,8910 IMPRINT 111258 ROJO C.NEGRO 26x9mm,73000068,,184.91,"Texto , Imprint , 8910 , Imprint"
1,8913 IMPRINT (111383) C.NEG C.N 58x22mm,73000072,,276.6,"Texto , Imprint , 8913 , Imprint"
1,8913 IMPRINT (111508) ROJO C.NEG 58x22mm,73000073,,276.6,"Texto , Imprint , 8913 , Imprint"
1,9342 MICRO PRINTY 4.0 C.ROJO CNEGRO 42mm,158843,,369.86,"Texto , Printy , 9342 , Micro"
1,9511 EXHIBIDOR POCKET (8 SELLOS),148684,,1949.04,"Texto , Printy , 9511 , Pocket"
1,9511 POCKET PRINTY AZUL C.NEGRO 38x14mm,148735,,251.16,"Texto , Printy , 9511 , Pocket"
1,9511 POCKET PRINTY BLANCO C.NEG 38x14mm,148737,,251.16,"Texto , Printy , 9511 , Pocket"
1,9511 POCKET PRINTY C.NEG C.NEG 38x14mm,148636,,251.16,"Texto , Printy , 9511 , Pocket"
1,9511 POCKET PRINTY PLATA C.NEGRO 38x14mm,148842,,251.16,"Texto , Printy , 9511 , Pocket"
1,9511 POCKET PRINTY ROJO C.NEGRO 38x14mm,148739,,251.16,"Texto , Printy , 9511 , Pocket"
1,9511 POCKET P. ROSA FUCSIA C.N 38x14mm,148751,,251.16,"Texto , Printy , 9511 , Pocket"
1,9511 POCKET P. ROSA/TURQUESA C.N 38x14mm,148755,,251.16,"Texto , Printy , 9511 , Pocket"
1,9511 POCKET PRINTY VERDE MAN C.N 38x14mm,148840,,251.16,"Texto , Printy , 9511 , Pocket"
1,9512 EXHIBIDOR POCKET (8 SELLOS),148859,,2338.61,"Texto , Printy , 9512 , Pocket"
1,9512 POCKET PRINTY AZUL C.NEGRO 47x18mm,148920,,301.37,"Texto , Printy , 9512 , Pocket"
1,9512 POCKET PRINTY BLANCO C.NEG 47x18mm,148997,,301.37,"Texto , Printy , 9512 , Pocket"
1,9512 POCKET PRINTY NEGRO C.NEG 47x18mm,148858,,301.37,"Texto , Printy , 9512 , Pocket"
1,9512 POCKET PRINTY PLATA C.NEG 47x18mm,149204,,301.37,"Texto , Printy , 9512 , Pocket"
1,9512 POCKET PRINTY ROJO C.NEGRO 47x18mm,149168,,301.37,"Texto , Printy , 9512 , Pocket"
1,9512 POCKET P. ROSA FUCSIA C.N 47x18mm,149192,,301.37,"Texto , Printy , 9512 , Pocket"
1,9512 POCKET P. ROSA/TURQUESA C.N 47x18mm,149196,,301.37,"Texto , Printy , 9512 , Pocket"
1,9512 POCKET PRINTY VERDE MAN C.N 47x18mm,149200,,301.37,"Texto , Printy , 9512 , Pocket"
1,9512 POCKET P. TYPO AZUL C.ROJO 49x28mm,151772,,641.23,"Texto , Printy , 9512 , Pocket"
1,9512 POCKET P. TYPO AZUL C.AZUL 47x18mm,151773,,641.23,"Texto , Printy , 9512 , Pocket"
1,26497 DELRIN BLANCO 279mmx305mm,26497,,1791.58,"Texto , Insumo , 26497 , Insumo"
1,8913 IMPRINT  C. AZULC. NEGRO 58x22mm,111640,,276.6,"Texto , Imprint , 8913 , Imprint"
1,8915 IMPRINT  C. NEGRO C. NEGRO 70x25mm,111482,,389.98,"Texto , Imprint , 8915 , Imprint"
1,8915 IMPRINT  C. ROJO C. NEGRO 70x25mm,111525,,389.98,"Texto , Imprint , 111525 , Imprint"
1,9430 MOBILE PRINTY C.AZUL C.NEG 30X30mm,73000398,,396.44,"Texto , Printy , 9430 , Mobile"
1,9430 MOBILE PRINTY VERDE C.NEG 30x30mm,73000399,,396.44,"Texto , Printy , 9430 , Mobile"
1,9413 MOBILE PRINTY AZUL C.NEGRO 58x22mm,34698,,432.45,"Texto , Printy , 9413 , Mobile"
1,9413 MOBILE PRINTY PLATA C.NEGRO 58x22mm,34700,,432.45,"Texto , Printy , 9413 , Mobile"
1,9413 MOBILE PRINTY ROJO C.NEGRO 58x22mm,34696,,432.45,"Texto , Printy , 9413 , Mobile"
1,9425 MOBILE PRINTY C.AMARILLO C.N25x25mm,34786,,384.38,"Texto , Printy , 9425 , Mobile"
1,9425 MOBILE PRINTY C.AZUL C.NEGRO25x25mm,34823,,384.38,"Texto , Printy , 9425 , Mobile"
1,9425 MOBILE PRINTY NEGRO C.NEGRO 25x25mm,34827,,384.38,"Texto , Printy , 9425 , Mobile"
1,9425 MOBILE PRINTY C.PLATA C.NEG 25x25mm,34825,,384.38,"Texto , Printy , 9425 , Mobile"
1,9425 MOBILE PRINTY C.ROJO C.NEGRO25x25mm,34821,,384.38,"Texto , Printy , 9425 , Mobile"
1,9425 MOBILE PRINTY C.ROSA C.NEGRO25x25mm,34788,,384.38,"Texto , Printy , 9425 , Mobile"
1,9425 MOBILE PRINTY C.VERDE C.NEG 25x25mm,34830,,384.38,"Texto , Printy , 9425 , Mobile"
1,9430 MOBILE PRINTY AMARILLO C.N 30x30mm,20008,,396.44,"Texto , Printy , 9430 , Mobile"
1,9430 MOBILE PRINTY NARANJA C.NEG 30x30mm,20005,,396.44,"Texto , Printy , 9430 , Mobile"
1,9430 MOBILE PRINTY ROJO C.NEGRO 30x30mm,19922,,396.44,"Texto , Printy , 9430 , Mobile"
1,9430 MOBILE PRINTY C.ROSA C.NEGRO30x30mm,20011,,396.44,"Texto , Printy , 9430 , Mobile"
1,9440 MOBILE PRINTY AZUL C.NEGRO 40x40mm,46318,,515.83,"Texto , Printy , 9440 , Mobile"
1,9440 MOBILE PRINTY NEGRO C.NEGRO 40x40mm,46305,,539.24,"Texto , Printy , 9440 , Mobile"
1,9440 MOBILE PRINTY C.PLATA C.N 40x40mm,46304,,515.79,"Texto , Printy , 9440 , Mobile"
1,9440 MOBILE PRINTY ROJO C.NEGRO 40x40mm,46316,,515.79,"Texto , Printy , 9440 , Mobile"
1,44045 PRINTY 3.0 C.NEGRO C.NEGRO 45x30mm,45188,,437.84,"Texto , Printy , 44045 , 3"
1,44055 PRINTY 3.0 C.GRIS C.NEGRO 55x35mm,87904,,504.63,"Texto , Printy , 44055 , 3"
1,44055 PRINTY 3.0 C.NEGRO C.NEGRO 55x35mm,45257,,504.63,"Texto , Printy , 44055 , 3"
1,44055 PRINTY 3.0 C.ROJO C.NEGRO 55x35mm,86575,,504.63,"Texto , Printy , 44055 , 3"
1,46019 PRINTY 3.0 C. NEGRO C. NEGRO 19mm,45206,,230.02,"Texto , Printy , 46019 , 3"
1,4612 PRINTY 2.0 C. NEGRO C. NEGRO 12mm,91527,,226.14,"Texto , Printy , 4612 , 2"
1,4630 PRINTY 3.0 C. AZUL C. NEGRO 30mm,80386,,342.96,"Texto , Printy , 4630 , 3"
1,4630 PRINTY 3.0 C. GRIS C. NEGRO 30mm,80398,,342.96,"Texto , Printy , 4630 , 3"
1,4630 PRINTY 3.0 C. NEGRO C. NEGRO 30mm,80394,,342.96,"Texto , Printy , 4630 , 3"
1,4630 PRINTY 3.0 C. ROJO C. NEGRO 30mm,80393,,342.96,"Texto , Printy , 4630 , 3"
1,4638 PRINTY 4.0 C. AZUL C. NEGRO 38mm,76849,,430.29,"Texto , Printy , 4638 , 4"
1,4638 PRINTY 4.0 C. NEGRO C. NEGRO 38mm,76854,,430.29,"Texto , Printy , 4638 , 4"
1,4638 PRINTY 4.0 C. ROJO C. NEGRO 38mm,76798,,430.29,"Texto , Printy , 4638 , 4"
1,4912 PRINTY RECIBIDO 4.0 C.G C.N 47x18mm,56631,,283.82,"Texto , Printy , 4912 , 4"
1,4912 PRINTY PAGADO 4.0 GRIS C.N 47x18mm,56630,,449.16,"Texto , Printy , 4912 , 4"
1,4918 PRINTY 3.0 C. AZUL C. NEGRO 75x15mm,19898,,571.8,"Texto , Printy , 4918 , 3"
1,4918 PRINTY 3.0 C. GRIS C. NEGRO 75x15mm,19899,,571.8,"Texto , Printy , 4918 , 3"
1,4918 PRINTY 3.0 C.NEGRO C.NEGRO 75x15mm,45201,,571.8,"Texto , Printy , 4918 , 3"
1,4918 PRINTY 3.0 C. ROJO C. NEGRO 75x15mm,19897,,571.8,"Texto , Printy , 4918 , 3"
1,4925 PRINTY 3.0 C. AZUL C. NEGRO 82x25mm,9638,,544.34,"Texto , Printy , 4925 , 3"
1,4925 PRINTY 3.0 C. GRIS C. NEGRO 82x25mm,9637,,544.34,"Texto , Printy , 4925 , 3"
1,4925 PRINTY 3.0 C.NEGRO C.NEGRO 82x25mm,45223,,544.34,"Texto , Printy , 4925 , 3"
1,4925 PRINTY 3.0 C. ROJO C. NEGRO 82x25mm,9636,,544.34,"Texto , Printy , 4925 , 3"
1,4928 PRINTY 3.0 C. AZUL C. NEGRO 60x33mm,3642,,557.95,"Texto , Printy , 4928 , 3"
1,4928 PRINTY 3.0 C. GRIS C. NEGRO 60x33mm,3643,,557.95,"Texto , Printy , 4928 , 3"
1,4928 PRINTY 3.0 C.NEGRO C.NEGRO 60x33mm,45275,,557.96,"Texto , Printy , 4928 , 3"
1,4928 PRINTY 3.0 C. ROJO C. NEGRO 60x33mm,3644,,557.95,"Texto , Printy , 4928 , 3"
1,4929 PRINTY 3.0 C. AZUL C. NEGRO 50x30mm,3670,,558.81,"Texto , Printy , 4929 , 3"
1,4929 PRINTY 3.0 C. GRIS C. NEGRO 50x30mm,3671,,558.81,"Texto , Printy , 4929 , 3"
1,4929 PRINTY 3.0 C.NEGRO C.NEGRO 50x30mm,45270,,558.81,"Texto , Printy , 4929 , 3"
1,4929 PRINTY 3.0 C. ROJO C. NEGRO 50x30mm,3669,,558.81,"Texto , Printy , 4929 , 3"
1,4931 PRINTY 3.0 C. AZUL C. NEGRO 70x30mm,33305,,562.47,"Texto , Printy , 4931 , 3"
1,4931 PRINTY 3.0 C. GRIS C. NEGRO 70x30mm,33306,,562.49,"Texto , Printy , 4931 , 3"
1,4931 PRINTY 3.0 C.NEGRO C.NEGRO 70x30mm,45196,,562.47,"Texto , Printy , 4931 , 3"
1,4931 PRINTY 3.0 C. ROJO C. NEGRO 70x30mm,33304,,562.47,"Texto , Printy , 4931 , 3"
1,4933 PRINTY 2.0 C. AZUL C. NEGRO 25x25mm,65841,,426.64,"Texto , Printy , 4933 , 2"
1,4933 PRINTY 2.0 C.NEGRO C.NEGRO 25x25mm,65635,,426.64,"Texto , Printy , 4933 , 2"
1,4933 PRINTY 2.0 C. ROJO C. NEGRO 25x25mm,65836,,426.64,"Texto , Printy , 4933 , 2"
1,4910 PRINTY 4.0 BLANCO/BLANCO C.N 26x9mm,57842,,217.54,"Texto , Printy , 4910 , 4"
1,4911 PRINTY 4.0 C. AZUL C. NEGRO 38x14mm,44359,,232.32,"Texto , Printy , 4911 , 4"
1,4911 PRINTY 4.0 BLANCO/NEG C.NEG 38x14mm,44380,,232.32,"Texto , Printy , 4911 , 4"
1,4911 PRINTY 4.0 C. GRIS C. NEGRO 38x14mm,44356,,232.32,"Texto , Printy , 4911 , 4"
1,4911 PRINTY 4.0 C.NEGRO C.NEGRO 38x14mm,44075,,232.32,"Texto , Printy , 4911 , 4"
1,4911 PRINTY 4.0 C. ROJO C. NEGRO 38x14mm,44377,,232.32,"Texto , Printy , 4911 , 4"
1,4911 PRINTY 4.0 ROSA FUCSIA C.N 38x14mm,44383,,232.32,"Texto , Printy , 4911 , 4"
1,4911 PRINTY 4.0 VERDE C. NEGRO 38x14mm,44396,,232.32,"Texto , Printy , 4911 , 4"
1,4912 PRINTY 4.0 C. AZUL C. NEGRO 47x18mm,44368,,283.85,"Texto , Printy , 4912 , 4"
1,4912 PRINTY 4.0 BLANCO/NEGRO C.N 47x18mm,44374,,271.5,"Texto , Printy , 4912 , 4"
1,4912 PRINTY 4.0  BLANCO/NEGRO C.N 47x18mm,46480,,271.5,"Texto , Printy , 4912 , 4"
1,4912 PRINTY 4.0 C. GRIS C. NEGRO 47x18mm,44355,,283.85,"Texto , Printy , 4912 , 4"
